Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,1,Active_Noise,Straight,Mid Center,-0.025,0.949,-19.594,-0.09,0.889,-19.594,0.089,-0.028,0.959,-19.595,-0.029,0.862,-19.506,0.132,Strike,CheckSwing
Sub_Test01,2,Active_Noise,Straight,Mid Center,-0.028,0.926,-19.574,0.054,0.901,-19.574,0.085,-0.032,0.917,-19.571,-0.011,0.853,-19.535,0.076,Strike,CheckSwing
Sub_Test01,3,Active_Noise,Straight,Low Center,-0.028,0.875,-19.567,-0.023,0.881,-19.567,0.008,-0.033,0.884,-19.566,-0.035,0.79,-19.527,0.101,Strike,Swing
Sub_Test01,4,Active_Noise,Straight,Low Center,-0.033,0.867,-19.57,1.461,0.809,-19.57,1.495,-0.036,0.872,-19.568,0.207,0.851,-19.645,0.255,Ball_WildPitch,Take
Sub_Test02,5,Active_Noise,Straight,Low Center,-0.021,0.842,-19.602,-0.001,0.85,-19.602,0.021,-0.027,0.856,-19.597,-0.045,0.78,-19.539,0.097,Strike,CheckSwing
Sub_Test03,6,Active_Noise,Straight,Low Center,-0.032,0.852,-19.591,-0.013,0.924,-19.591,0.074,-0.033,0.857,-19.589,-0.044,0.743,-19.556,0.12,Strike,CheckSwing
Sub_Test04,7,Active_Noise,Straight,Low Center,-0.038,0.828,-19.575,-0.041,0.848,-19.575,0.02,-0.042,0.839,-19.573,-0.023,0.783,-19.527,0.075,Strike,Take
Sub_Test05,8,Active_Noise,Straight,Low Center,-0.034,0.823,-19.567,-0.081,0.768,-19.567,0.072,-0.035,0.831,-19.566,-0.067,0.737,-19.517,0.111,Strike,Swing
Sub_Test06,9,Active_Noise,Straight,Low Center,-0.032,0.833,-19.574,0.041,0.796,-19.574,0.082,-0.033,0.839,-19.571,-0.025,0.684,-19.501,0.17,Strike,Take
Sub_Test07,10,Active_Noise,Straight,Low Center,-0.032,0.844,-19.567,-0.061,0.874,-19.567,0.041,-0.034,0.852,-19.566,-0.037,0.802,-19.543,0.055,Strike,Swing
