Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,1,Active_Noise,ZeroSeam,Mid Center,0.044,0.958,-19.560,0.044,0.960,-19.560,0.002,0.040,0.974,-19.568,0.043,0.993,-19.570,0.019,Strike_PassedBall,Take
Sub_Test01,2,Active_Noise,Sweeper,Mid Inside,-0.101,0.969,-19.485,-0.108,0.970,-19.485,0.007,-0.078,0.966,-19.506,-0.114,0.981,-19.499,0.039,Ball_PassedBall,Take
Sub_Test01,3,Active_Noise,Sweeper,Mid Inside,-0.090,0.951,-19.653,-0.097,0.951,-19.653,0.007,-0.093,0.987,-19.636,-0.123,1.005,-19.623,0.038,Ball,Take
Sub_Test01,4,Active_Noise,Sweeper,Mid Center,0.002,1.032,-19.580,-0.004,1.032,-19.580,0.007,0.006,1.022,-19.593,-0.006,1.026,-19.578,0.019,Strike,Take
Sub_Test01,5,Active_Noise,ZeroSeam,Low Center,-0.006,0.880,-19.495,-0.006,0.882,-19.495,0.002,-0.008,0.887,-19.508,-0.017,0.897,-19.503,0.014,Strike,Take
Sub_Test01,6,Active_Noise,Cutter,High Center,0.023,1.146,-19.477,0.022,1.143,-19.477,0.003,0.024,1.123,-19.538,-0.005,1.122,-19.507,0.042,Strike,Take
Sub_Test01,7,Active_Noise,SinkingFast,Mid Center,0.033,0.931,-19.483,0.031,0.931,-19.483,0.002,0.039,0.932,-19.488,0.041,0.931,-19.475,0.013,Ball,Take
Sub_Test01,8,Active_Noise,SinkingFast,Mid Center,0.010,0.952,-19.451,0.008,0.952,-19.451,0.002,0.047,0.959,-19.472,0.020,1.030,-19.448,0.080,Ball,Take
Sub_Test01,9,Active_Noise,SinkingFast,Mid Inside,-0.104,1.006,-19.481,-0.107,1.006,-19.481,0.003,-0.106,0.996,-19.481,-0.129,1.027,-19.471,0.040,Ball_PassedBall,Take
Sub_Test01,10,Active_Noise,SinkingFast,Mid Inside,-0.103,1.023,-19.439,-0.106,1.023,-19.439,0.003,-0.118,1.039,-19.524,-0.130,1.078,-19.509,0.044,Ball_PassedBall,Take
Sub_Test01,11,Active_Noise,SinkingFast,Mid Inside,-0.125,1.043,-19.507,-0.127,1.043,-19.507,0.002,-0.130,1.022,-19.515,-0.143,1.031,-19.495,0.025,Strike,Take
Sub_Test01,12,Active_Noise,SinkingFast,Mid Inside,-0.128,1.045,-19.496,-0.131,1.045,-19.496,0.003,-0.131,1.047,-19.524,-0.146,1.095,-19.511,0.052,Strike,Take
Sub_Test01,13,Active_Noise,Straight,Mid Center,-0.023,1.055,-19.483,-0.023,1.056,-19.483,0.001,-0.033,1.008,-19.654,-0.035,1.008,-19.659,0.005,Ball_PassedBall,Take
Sub_Test01,14,Active_Noise,Straight,Mid Center,-0.021,1.078,-19.553,-0.022,1.080,-19.553,0.002,-0.009,1.056,-19.587,-0.012,1.052,-19.587,0.006,Strike_PassedBall,Take
Sub_Test01,15,Active_Noise,Straight,Mid Center,-0.024,1.062,-19.536,-0.025,1.063,-19.536,0.002,-0.016,1.050,-19.535,-0.036,1.078,-19.524,0.036,Strike_PassedBall,Take
Sub_Test01,16,Active_Noise,Straight,Mid Center,-0.038,1.058,-19.653,-0.038,1.058,-19.653,0.000,-0.037,1.070,-19.543,-0.055,1.071,-19.513,0.035,Strike,Take
Sub_Test01,17,Active_Noise,Slatter,Mid Center,0.066,0.980,-19.449,0.065,0.976,-19.449,0.004,0.064,0.983,-19.470,0.026,1.012,-19.432,0.061,Strike,Take
Sub_Test01,18,Active_Noise,DCurve,Mid Center,-0.001,1.010,-19.620,-0.014,1.027,-19.620,0.021,-0.079,0.920,-19.443,-0.113,0.946,-19.431,0.044,Strike_Missed,Take
Sub_Test01,19,Active_Noise,Drop,Mid Center,0.034,0.980,-19.420,0.025,0.991,-19.420,0.014,0.053,0.974,-19.612,0.022,1.004,-19.594,0.047,Strike,Take
Sub_Test01,20,Active_Noise,KnuckleCurve,Mid Outside,0.113,0.915,-19.546,0.109,0.913,-19.546,0.004,0.107,0.894,-19.605,0.103,0.925,-19.583,0.038,Strike_PassedBall,Take
Sub_Test01,21,Active_Noise,KnuckleCurve,Low Outside,0.088,0.874,-19.559,0.084,0.870,-19.559,0.005,0.118,0.860,-19.533,0.100,0.868,-19.495,0.043,Strike,Take
