Trial_ID,Pitch_Number,Condition_Mode,Selected_Pitch_Type,Selected_Course_Zone,Target_Pos_X,Target_Pos_Y,Target_Pos_Z,Impact_Pos_X,Impact_Pos_Y,Impact_Pos_Z,Noise_Delta_Distance,Mitt_Start_X,Mitt_Start_Y,Mitt_Start_Z,Mitt_Catch_X,Mitt_Catch_Y,Mitt_Catch_Z,Mitt_Movement_Distance,Catch_Result,Batter_Reaction
Sub_Test01,1,Active_Noise,Straight,High Center,0.007,1.201,-19.811,-0.060,1.140,-19.811,0.090,-0.042,1.175,-19.828,-0.053,1.232,-19.884,0.080,Strike_Missed,Take
Sub_Test01,2,Active_Noise,Straight,High Inside,-0.086,1.224,-19.878,0.148,1.182,-19.878,0.238,-0.091,1.189,-19.896,-0.119,1.221,-19.926,0.052,Strike_Missed,Take
Sub_Test01,3,Active_Noise,Straight,High Inside,-0.120,1.224,-19.929,-0.212,1.115,-19.929,0.143,-0.108,1.172,-19.940,-0.194,1.076,-19.839,0.164,Strike,Take
Sub_Test01,4,Active_Noise,Straight,High Inside,-0.095,1.199,-19.920,-0.068,1.003,-19.920,0.198,0.064,1.084,-19.965,-0.084,1.220,-19.936,0.203,Strike_Missed,Take
Sub_Test01,5,Active_Noise,Straight,High Inside,-0.084,1.187,-19.936,-0.300,1.287,-19.936,0.237,0.099,1.001,-19.993,-0.417,1.151,-19.956,0.539,Ball_Missed,Take
Sub_Test01,6,Active_Noise,Straight,High Center,-0.043,1.162,-19.963,-0.180,1.052,-19.963,0.175,0.071,1.041,-19.991,-0.283,0.981,-19.865,0.380,Ball_Missed,Take
Sub_Test01,7,Active_Noise,Straight,High Inside,-0.122,1.225,-19.963,-0.322,1.100,-19.963,0.236,0.077,1.056,-19.997,-0.429,1.024,-19.852,0.527,Ball,Take
Sub_Test01,8,Active_Noise,Straight,High Inside,-0.141,1.246,-19.972,-0.074,1.184,-19.972,0.091,0.091,1.027,-20.010,-0.001,1.106,-20.049,0.128,Ball_Missed,Take
Sub_Test01,9,Active_Noise,Straight,High Inside,-0.088,1.215,-19.994,0.088,1.121,-19.994,0.200,0.089,1.003,-20.035,0.024,1.088,-19.994,0.114,Ball,Take
Sub_Test01,10,Active_Noise,Straight,High Inside,-0.099,1.202,-20.037,-0.129,1.334,-20.037,0.136,0.086,1.017,-20.042,-0.193,1.212,-20.019,0.341,Ball,Take
Sub_Test01,11,Active_Noise,Straight,High Inside,-0.099,1.207,-20.036,-0.065,1.323,-20.036,0.121,0.080,1.018,-20.047,-0.122,1.252,-20.052,0.308,Ball_PassedBall,Take
Sub_Test01,12,Active_Noise,Straight,Mid Inside,-0.113,1.094,-19.903,-0.133,1.049,-19.903,0.050,0.083,1.060,-20.050,-0.151,1.035,-19.899,0.280,Strike,Take
Sub_Test01,13,Active_Noise,Straight,Mid Inside,-0.115,1.075,-19.961,-0.250,1.240,-19.961,0.214,0.068,1.041,-20.001,-0.289,1.169,-19.875,0.400,Ball_PassedBall,Take
Sub_Test01,14,Active_Noise,Straight,Mid Inside,-0.125,1.090,-19.975,-0.316,1.247,-19.975,0.247,0.046,1.107,-19.873,-0.552,1.238,-19.896,0.613,Ball_Missed,Take
Sub_Test01,15,Active_Noise,Straight,High Inside,-0.200,1.174,-19.836,-0.068,1.243,-19.836,0.149,-0.144,1.124,-19.865,-0.020,1.217,-19.923,0.166,Strike_PassedBall,Take
Sub_Test01,16,Active_Noise,Straight,Mid Inside,-0.128,1.061,-19.850,-0.061,1.039,-19.850,0.071,-0.129,1.019,-19.877,-0.114,1.087,-19.882,0.069,Strike,Take
Sub_Test01,17,Active_Noise,Straight,Mid Inside,-0.117,1.045,-19.886,-0.322,1.096,-19.886,0.212,0.091,0.954,-19.825,-0.331,1.204,-19.863,0.493,Ball_Missed,Take
Sub_Test01,18,Active_Noise,Straight,High Inside,-0.115,1.111,-19.865,0.011,0.980,-19.865,0.182,0.063,0.983,-19.889,-0.025,1.115,-19.806,0.179,Strike,Take
Sub_Test01,19,Active_Noise,Straight,Mid Inside,-0.126,0.971,-19.841,-0.102,1.037,-19.841,0.070,0.082,0.926,-19.870,-0.082,1.080,-19.884,0.225,Strike_PassedBall,Take
Sub_Test01,20,Active_Noise,Straight,Mid Inside,-0.084,0.932,-19.865,0.026,0.809,-19.865,0.165,0.080,0.902,-19.887,0.008,0.914,-19.831,0.092,Strike,Take
Sub_Test01,21,Active_Noise,Straight,Mid Inside,-0.111,0.945,-19.906,0.076,0.782,-19.906,0.248,0.091,0.924,-19.896,0.011,0.813,-19.806,0.163,Strike_PassedBall,Take
Sub_Test01,22,Active_Noise,Straight,Mid Inside,-0.113,1.006,-19.861,0.089,0.953,-19.861,0.209,0.073,0.939,-19.898,-0.001,0.825,-19.801,0.167,Strike_Missed,Take
Sub_Test01,23,Active_Noise,Straight,Mid Center,-0.067,1.023,-19.897,-0.148,0.831,-19.897,0.208,0.088,0.955,-19.915,-0.121,0.774,-19.761,0.317,Strike,Take
Sub_Test01,24,Active_Noise,Straight,Mid Inside,-0.158,1.046,-19.899,-0.198,0.858,-19.899,0.192,0.086,0.988,-19.917,-0.165,0.857,-19.811,0.302,Strike_PassedBall,Take
Sub_Test01,25,Active_Noise,Straight,Mid Inside,-0.131,1.068,-19.873,-0.051,0.871,-19.873,0.212,0.058,0.993,-19.887,-0.091,0.656,-19.820,0.375,Strike_Missed,Take
Sub_Test01,26,Active_Noise,Straight,Low Inside,-0.085,0.823,-19.798,-0.069,1.050,-19.798,0.228,-0.081,0.803,-19.855,-0.054,1.234,-20.187,0.545,Strike_Missed,Take
Sub_Test01,27,Active_Noise,Straight,Low Center,-0.048,0.827,-19.839,0.014,0.762,-19.839,0.091,0.031,1.094,-19.716,-0.038,0.720,-19.690,0.381,Strike_PassedBall,Take
Sub_Test01,28,Active_Noise,Straight,Low Inside,-0.145,0.749,-19.745,0.052,0.851,-19.745,0.222,0.023,0.914,-19.819,0.046,0.789,-19.831,0.128,Strike_PassedBall,Take
Sub_Test01,29,Active_Noise,Straight,Low Inside,-0.102,0.824,-19.844,-0.204,0.616,-19.844,0.232,-0.026,0.935,-19.887,-0.067,0.649,-19.832,0.294,Ball,Take
Sub_Test01,30,Active_Noise,Straight,Low Center,-0.069,0.889,-19.860,0.093,0.936,-19.860,0.169,0.043,0.874,-19.832,-0.059,0.878,-19.788,0.112,Strike_PassedBall,Take
Sub_Test01,31,Active_Noise,Straight,Low Inside,-0.153,0.906,-19.889,0.049,0.935,-19.889,0.204,-0.092,0.901,-19.882,-0.032,0.918,-19.681,0.210,Strike_Missed,Take
Sub_Test01,32,Active_Noise,Straight,Low Inside,-0.190,0.876,-19.940,-0.376,0.936,-19.940,0.196,0.032,0.972,-19.876,-0.327,0.923,-19.853,0.363,Ball,Take
Sub_Test01,33,Active_Noise,Straight,Low Inside,-0.192,0.874,-19.943,-0.102,0.870,-19.943,0.090,0.061,0.936,-19.894,-0.132,0.701,-19.832,0.310,Strike_Missed,Take
Sub_Test01,34,Active_Noise,Straight,Mid Inside,-0.129,0.917,-19.946,-0.248,1.089,-19.946,0.209,0.090,0.938,-19.899,-0.257,0.984,-19.859,0.353,Ball,Take
Sub_Test01,35,Active_Noise,Straight,Low Inside,-0.137,0.809,-19.904,0.073,0.840,-19.904,0.213,0.067,0.871,-19.915,0.118,0.740,-19.787,0.190,Strike_PassedBall,Take
Sub_Test01,36,Active_Noise,Straight,Low Inside,-0.145,0.854,-19.924,-0.102,0.755,-19.924,0.108,0.096,0.848,-19.828,-0.123,0.609,-19.827,0.324,Strike_Missed,Take
Sub_Test01,37,Active_Noise,Straight,Low Inside,-0.132,0.819,-19.911,-0.308,0.720,-19.911,0.202,0.069,0.892,-19.915,-0.233,0.715,-19.928,0.350,Ball,Take
Sub_Test01,38,Active_Noise,Straight,Low Center,-0.049,0.867,-19.914,-0.005,0.922,-19.914,0.070,0.102,0.859,-19.921,-0.025,0.646,-19.818,0.269,Strike_Missed,Take
Sub_Test01,39,Active_Noise,Straight,Low Inside,-0.195,0.839,-19.968,-0.206,0.845,-19.968,0.013,-0.103,0.845,-19.853,-0.218,0.886,-19.786,0.140,Ball_Missed,Take
Sub_Test01,40,Active_Noise,Straight,High Center,0.066,1.241,-19.877,0.002,1.062,-19.877,0.190,0.083,1.147,-19.875,-0.087,0.957,-19.848,0.256,Strike,Take
Sub_Test01,41,Active_Noise,Straight,High Outside,0.094,1.231,-19.915,0.096,1.191,-19.915,0.040,0.103,1.125,-19.848,-0.032,1.163,-19.893,0.147,Strike_Missed,Take
Sub_Test01,42,Active_Noise,Straight,High Center,-0.050,1.163,-19.896,0.146,1.264,-19.896,0.220,-0.032,1.140,-19.925,0.035,1.149,-19.949,0.072,Strike,Take
Sub_Test01,43,Active_Noise,Straight,High Center,-0.012,1.220,-19.904,-0.008,1.020,-19.904,0.200,0.000,1.123,-19.891,-0.088,1.088,-19.817,0.120,Strike,Take
Sub_Test01,44,Active_Noise,Straight,High Center,-0.015,1.248,-19.925,0.054,1.020,-19.925,0.238,-0.021,1.081,-19.968,-0.026,0.997,-19.919,0.097,Strike_PassedBall,Take
Sub_Test01,45,Active_Noise,Straight,High Center,-0.050,1.238,-19.929,-0.208,1.065,-19.929,0.234,-0.017,1.117,-19.919,-0.338,1.062,-19.835,0.337,Strike,Take
Sub_Test01,46,Active_Noise,Straight,High Center,-0.011,1.199,-20.011,0.157,1.101,-20.011,0.194,0.006,1.091,-19.996,-0.081,0.693,-20.157,0.439,Strike_Missed,Take
Sub_Test01,47,Active_Noise,Straight,High Center,-0.025,1.152,-19.957,-0.046,1.069,-19.957,0.086,-0.002,1.097,-20.075,-0.160,0.971,-19.885,0.278,Ball_PassedBall,Take
Sub_Test01,48,Active_Noise,Straight,High Center,-0.024,1.177,-19.937,-0.125,1.255,-19.937,0.127,-0.031,1.079,-19.926,-0.257,1.195,-19.884,0.257,Strike,Take
Sub_Test01,49,Active_Noise,Straight,Mid Center,-0.036,1.094,-19.945,-0.125,1.212,-19.945,0.148,-0.047,1.081,-19.965,-0.145,1.110,-19.926,0.110,Strike_PassedBall,Take
Sub_Test01,50,Active_Noise,Straight,High Center,-0.042,1.234,-20.010,-0.063,1.418,-20.010,0.185,-0.045,1.132,-20.000,-0.099,1.309,-20.004,0.185,Ball,Take
Sub_Test01,51,Active_Noise,Straight,High Center Ball,-0.037,1.300,-20.013,-0.130,1.348,-20.013,0.104,-0.020,1.115,-19.960,-0.287,1.364,-19.978,0.366,Ball,Take
Sub_Test01,52,Active_Noise,Straight,High Center,-0.019,1.158,-19.968,-0.165,1.295,-19.968,0.200,-0.027,1.116,-19.978,-0.253,1.280,-19.939,0.282,Ball,Take
Sub_Test01,53,Active_Noise,Straight,Mid Center,-0.038,1.058,-19.965,0.059,0.940,-19.965,0.154,-0.049,1.020,-19.967,-0.050,1.056,-19.969,0.036,Ball_Missed,Take
Sub_Test01,54,Active_Noise,Straight,Mid Center,-0.038,1.004,-19.965,0.005,0.765,-19.965,0.243,-0.006,1.035,-19.955,-0.098,0.769,-19.866,0.295,Ball_Missed,Take
Sub_Test01,55,Active_Noise,Straight,Mid Center,-0.023,1.046,-19.963,-0.069,1.019,-19.963,0.053,-0.027,1.019,-19.987,-0.003,1.033,-19.977,0.030,Ball_Missed,Take
Sub_Test01,56,Active_Noise,Straight,Mid Center,-0.013,1.029,-19.998,0.104,0.984,-19.998,0.126,0.015,1.016,-19.993,0.254,0.896,-20.024,0.270,Ball_Missed,Take
Sub_Test01,57,Active_Noise,Straight,Mid Center,-0.015,1.052,-20.027,-0.067,1.193,-20.027,0.151,-0.008,1.029,-20.040,-0.149,1.133,-20.006,0.179,Strike,Take
Sub_Test01,58,Active_Noise,Straight,Mid Center,-0.006,1.014,-20.047,-0.167,0.845,-20.047,0.233,-0.037,1.024,-19.982,-0.273,0.872,-19.795,0.337,Strike_Missed,Take
Sub_Test01,59,Active_Noise,Straight,Mid Center,-0.041,1.044,-19.993,0.028,0.953,-19.993,0.114,-0.049,1.049,-19.704,-0.046,1.006,-19.592,0.119,Ball_Missed,Take
Sub_Test01,60,Active_Noise,Straight,Mid Center,0.002,1.086,-19.768,0.039,1.076,-19.768,0.038,-0.019,1.048,-19.772,-0.019,1.083,-19.774,0.035,Strike,Take
Sub_Test01,61,Active_Noise,Straight,Mid Center,-0.026,1.041,-19.809,-0.112,1.147,-19.809,0.136,-0.017,1.027,-19.857,-0.146,1.130,-19.818,0.169,Strike_PassedBall,Take
Sub_Test01,62,Active_Noise,Straight,Low Center,-0.021,0.867,-19.823,-0.106,0.661,-19.823,0.222,-0.032,0.776,-19.877,-0.162,0.845,-19.792,0.170,Strike_Missed,Take
Sub_Test01,63,Active_Noise,Straight,Low Center,-0.021,0.734,-19.876,-0.105,0.536,-19.876,0.215,-0.017,0.952,-19.791,-0.115,0.587,-19.799,0.378,Ball_PassedBall,Take
Sub_Test01,64,Active_Noise,Straight,Low Center,-0.022,0.859,-19.846,0.015,0.690,-19.846,0.173,-0.027,0.995,-19.863,-0.108,0.605,-19.871,0.398,Strike,Take
Sub_Test01,65,Active_Noise,Straight,Low Center,-0.024,0.728,-19.887,-0.154,0.925,-19.887,0.236,0.003,0.895,-19.859,-0.200,0.818,-19.786,0.229,Strike_Missed,Take
Sub_Test01,66,Active_Noise,Straight,Low Center,-0.029,0.746,-19.824,0.124,0.602,-19.824,0.211,-0.037,0.720,-19.862,0.025,0.686,-19.885,0.075,Ball_PassedBall,Take
Sub_Test01,67,Active_Noise,Straight,Low Center,-0.039,0.770,-19.852,0.035,0.855,-19.852,0.113,-0.005,0.709,-19.904,-0.016,0.871,-19.818,0.184,Strike,Take
